league,season,div,date,time,hometeam,awayteam,fulltimehomegoals,fulltimeawaygoals,fulltimeresult,halftimehalfgoals,halftimehomegoals,halftimeresult,referee,homeshots,awayshots,homeshotontarget,awayshotsontarget,homefouls,awayfouls,homecorners,awaycorners,homeyellowcards,awayyellowcards,homeredcards,awayredcards,kickoff_hour,time_of_day,total_goals,goal_difference,total_cards,shot_accuracy_home,shot_accuracy_away,total_shots,total_shots_on_target,total_fouls,total_corners
Bundesliga,2022-2023,D1,2022-09-03,14:30,Stuttgart,Schalke 04,1,1,D,1.0,1.0,D,Unknown,13.0,13.0,3.0,4.0,11.0,10.0,5.0,7.0,4.0,2.0,1.0,0.0,14,Afternoon,2,0,7.0,0.23076923076923078,0.3076923076923077,26.0,7.0,21.0,12.0
Bundesliga,2022-2023,D1,2022-09-03,14:30,Union Berlin,Bayern Munich,1,1,D,1.0,1.0,D,Unknown,10.0,21.0,3.0,6.0,19.0,7.0,5.0,7.0,1.0,2.0,0.0,0.0,14,Afternoon,2,0,3.0,0.3,0.2857142857142857,31.0,9.0,26.0,12.0
Bundesliga,2022-2023,D1,2022-09-03,14:30,Wolfsburg,FC Koln,2,4,A,1.0,3.0,A,Unknown,9.0,18.0,3.0,5.0,13.0,14.0,5.0,4.0,2.0,1.0,0.0,0.0,14,Afternoon,6,2,3.0,0.3333333333333333,0.2777777777777778,27.0,8.0,27.0,9.0
Bundesliga,2022-2023,D1,2022-09-03,17:30,Ein Frankfurt,RB Leipzig,4,0,H,2.0,0.0,H,Unknown,14.0,5.0,9.0,0.0,14.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,17,Evening / Night,4,4,2.0,0.6428571428571429,0.0,19.0,9.0,24.0,7.0
Bundesliga,2022-2023,D1,2022-09-04,14:30,Augsburg,Hertha,0,2,A,0.0,0.0,D,Unknown,8.0,16.0,2.0,6.0,12.0,15.0,5.0,1.0,2.0,1.0,0.0,0.0,14,Afternoon,2,2,3.0,0.25,0.375,24.0,8.0,27.0,6.0
Bundesliga,2022-2023,D1,2022-09-04,16:30,M'gladbach,Mainz,0,1,A,0.0,0.0,D,Unknown,13.0,12.0,3.0,5.0,8.0,15.0,4.0,8.0,1.0,4.0,1.0,0.0,16,Afternoon,1,1,6.0,0.23076923076923078,0.4166666666666667,25.0,8.0,23.0,12.0
Bundesliga,2022-2023,D1,2022-09-09,19:30,Werder Bremen,Augsburg,0,1,A,0.0,0.0,D,Unknown,11.0,14.0,6.0,5.0,12.0,12.0,3.0,7.0,4.0,5.0,0.0,0.0,19,Evening / Night,1,1,9.0,0.5454545454545454,0.35714285714285715,25.0,11.0,24.0,10.0
Bundesliga,2022-2023,D1,2022-09-10,14:30,Bayern Munich,Stuttgart,2,2,D,1.0,0.0,H,Unknown,18.0,8.0,7.0,3.0,11.0,9.0,3.0,0.0,2.0,5.0,0.0,0.0,14,Afternoon,4,0,7.0,0.3888888888888889,0.375,26.0,10.0,20.0,3.0
Bundesliga,2022-2023,D1,2022-09-10,14:30,Ein Frankfurt,Wolfsburg,0,1,A,0.0,0.0,D,Unknown,11.0,6.0,0.0,3.0,16.0,13.0,10.0,5.0,2.0,4.0,0.0,0.0,14,Afternoon,1,1,6.0,0.0,0.5,17.0,3.0,29.0,15.0
Bundesliga,2022-2023,D1,2022-09-10,14:30,Hertha,Leverkusen,2,2,D,0.0,0.0,D,Unknown,17.0,11.0,6.0,5.0,15.0,16.0,3.0,5.0,3.0,1.0,0.0,0.0,14,Afternoon,4,0,4.0,0.35294117647058826,0.45454545454545453,28.0,11.0,31.0,8.0
Bundesliga,2022-2023,D1,2022-09-10,14:30,Hoffenheim,Mainz,4,1,H,0.0,0.0,D,Unknown,21.0,10.0,9.0,2.0,9.0,13.0,7.0,5.0,3.0,2.0,0.0,1.0,14,Afternoon,5,3,6.0,0.42857142857142855,0.2,31.0,11.0,22.0,12.0
Bundesliga,2022-2023,D1,2022-09-10,14:30,RB Leipzig,Dortmund,3,0,H,2.0,0.0,H,Unknown,14.0,4.0,5.0,0.0,12.0,6.0,5.0,8.0,2.0,1.0,0.0,0.0,14,Afternoon,3,3,3.0,0.35714285714285715,0.0,18.0,5.0,18.0,13.0
Bundesliga,2022-2023,D1,2022-09-10,17:30,Schalke 04,Bochum,3,1,H,1.0,0.0,H,Unknown,20.0,9.0,8.0,2.0,12.0,16.0,3.0,8.0,2.0,3.0,0.0,0.0,17,Evening / Night,4,2,5.0,0.4,0.2222222222222222,29.0,10.0,28.0,11.0
Bundesliga,2022-2023,D1,2022-09-11,14:30,FC Koln,Union Berlin,0,1,A,0.0,1.0,A,Unknown,7.0,12.0,2.0,3.0,15.0,12.0,7.0,8.0,4.0,1.0,1.0,0.0,14,Afternoon,1,1,6.0,0.2857142857142857,0.25,19.0,5.0,27.0,15.0
Bundesliga,2022-2023,D1,2022-09-11,16:30,Freiburg,M'gladbach,0,0,D,0.0,0.0,D,Unknown,13.0,14.0,8.0,5.0,13.0,6.0,7.0,6.0,1.0,1.0,0.0,0.0,16,Afternoon,0,0,2.0,0.6153846153846154,0.35714285714285715,27.0,13.0,19.0,13.0
Bundesliga,2022-2023,D1,2022-09-16,19:30,Mainz,Hertha,1,1,D,0.0,1.0,A,Unknown,12.0,4.0,2.0,2.0,12.0,10.0,4.0,3.0,3.0,5.0,0.0,0.0,19,Evening / Night,2,0,8.0,0.16666666666666666,0.5,16.0,4.0,22.0,7.0
Bundesliga,2022-2023,D1,2022-09-17,14:30,Augsburg,Bayern Munich,1,0,H,0.0,0.0,D,Unknown,9.0,21.0,4.0,7.0,16.0,9.0,2.0,8.0,3.0,1.0,0.0,0.0,14,Afternoon,1,1,4.0,0.4444444444444444,0.3333333333333333,30.0,11.0,25.0,10.0
Bundesliga,2022-2023,D1,2022-09-17,14:30,Dortmund,Schalke 04,1,0,H,0.0,0.0,D,Unknown,19.0,3.0,7.0,0.0,12.0,14.0,11.0,2.0,3.0,2.0,0.0,0.0,14,Afternoon,1,1,5.0,0.3684210526315789,0.0,22.0,7.0,26.0,13.0
Bundesliga,2022-2023,D1,2022-09-17,14:30,Leverkusen,Werder Bremen,1,1,D,0.0,0.0,D,Unknown,19.0,19.0,7.0,7.0,5.0,14.0,9.0,6.0,2.0,3.0,0.0,0.0,14,Afternoon,2,0,5.0,0.3684210526315789,0.3684210526315789,38.0,14.0,19.0,15.0
Bundesliga,2022-2023,D1,2022-09-17,14:30,Stuttgart,Ein Frankfurt,1,3,A,0.0,1.0,A,Unknown,15.0,13.0,2.0,8.0,9.0,11.0,7.0,4.0,2.0,0.0,0.0,0.0,14,Afternoon,4,2,2.0,0.13333333333333333,0.6153846153846154,28.0,10.0,20.0,11.0
Bundesliga,2022-2023,D1,2022-09-17,17:30,M'gladbach,RB Leipzig,3,0,H,2.0,0.0,H,Unknown,21.0,13.0,10.0,6.0,14.0,14.0,8.0,3.0,2.0,2.0,0.0,0.0,17,Evening / Night,3,3,4.0,0.47619047619047616,0.46153846153846156,34.0,16.0,28.0,11.0
Bundesliga,2022-2023,D1,2022-09-18,14:30,Union Berlin,Wolfsburg,2,0,H,0.0,0.0,D,Unknown,16.0,5.0,4.0,0.0,18.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,14,Afternoon,2,2,0.0,0.25,0.0,21.0,4.0,24.0,5.0
Bundesliga,2022-2023,D1,2022-09-18,16:30,Bochum,FC Koln,1,1,D,1.0,0.0,H,Unknown,7.0,18.0,0.0,3.0,12.0,8.0,4.0,8.0,0.0,1.0,0.0,0.0,16,Afternoon,2,0,1.0,0.0,0.16666666666666666,25.0,3.0,20.0,12.0
Bundesliga,2022-2023,D1,2022-09-18,18:30,Hoffenheim,Freiburg,0,0,D,0.0,0.0,D,Unknown,10.0,14.0,3.0,4.0,15.0,9.0,5.0,3.0,1.0,2.0,0.0,0.0,18,Evening / Night,0,0,3.0,0.3,0.2857142857142857,24.0,7.0,24.0,8.0
Bundesliga,2022-2023,D1,2022-09-30,19:30,Bayern Munich,Leverkusen,4,0,H,3.0,0.0,H,Unknown,20.0,10.0,10.0,5.0,10.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,19,Evening / Night,4,4,0.0,0.5,0.5,30.0,15.0,16.0,8.0
Bundesliga,2022-2023,D1,2022-10-01,14:30,Ein Frankfurt,Union Berlin,2,0,H,2.0,0.0,H,Unknown,14.0,14.0,4.0,5.0,4.0,11.0,4.0,7.0,3.0,4.0,1.0,0.0,14,Afternoon,2,2,8.0,0.2857142857142857,0.35714285714285715,28.0,9.0,15.0,11.0
Bundesliga,2022-2023,D1,2022-10-01,14:30,FC Koln,Dortmund,3,2,H,0.0,1.0,A,Unknown,20.0,21.0,16.0,13.0,14.0,10.0,7.0,11.0,4.0,3.0,0.0,0.0,14,Afternoon,5,1,7.0,0.8,0.6190476190476191,41.0,29.0,24.0,18.0
Bundesliga,2022-2023,D1,2022-10-01,14:30,Freiburg,Mainz,2,1,H,2.0,0.0,H,Unknown,13.0,17.0,6.0,7.0,9.0,15.0,5.0,5.0,2.0,4.0,0.0,0.0,14,Afternoon,3,1,6.0,0.46153846153846156,0.4117647058823529,30.0,13.0,24.0,10.0
Bundesliga,2022-2023,D1,2022-10-01,14:30,RB Leipzig,Bochum,4,0,H,2.0,0.0,H,Unknown,17.0,2.0,9.0,1.0,8.0,8.0,7.0,2.0,0.0,2.0,0.0,0.0,14,Afternoon,4,4,2.0,0.5294117647058824,0.5,19.0,10.0,16.0,9.0
Bundesliga,2022-2023,D1,2022-10-01,14:30,Wolfsburg,Stuttgart,3,2,H,2.0,2.0,D,Unknown,20.0,15.0,7.0,7.0,16.0,14.0,8.0,5.0,3.0,5.0,0.0,0.0,14,Afternoon,5,1,8.0,0.35,0.4666666666666667,35.0,14.0,30.0,13.0
Bundesliga,2022-2023,D1,2022-10-01,17:30,Werder Bremen,M'gladbach,5,1,H,4.0,0.0,H,Unknown,14.0,13.0,9.0,9.0,8.0,8.0,4.0,5.0,0.0,1.0,0.0,0.0,17,Evening / Night,6,4,1.0,0.6428571428571429,0.6923076923076923,27.0,18.0,16.0,9.0
Bundesliga,2022-2023,D1,2022-10-02,14:30,Hertha,Hoffenheim,1,1,D,1.0,1.0,D,Unknown,13.0,16.0,5.0,4.0,5.0,15.0,2.0,6.0,2.0,1.0,0.0,0.0,14,Afternoon,2,0,3.0,0.38461538461538464,0.25,29.0,9.0,20.0,8.0
Bundesliga,2022-2023,D1,2022-10-02,16:30,Schalke 04,Augsburg,2,3,A,1.0,2.0,A,Unknown,16.0,11.0,5.0,5.0,11.0,10.0,8.0,4.0,2.0,6.0,0.0,1.0,16,Afternoon,5,1,9.0,0.3125,0.45454545454545453,27.0,10.0,21.0,12.0
Bundesliga,2022-2023,D1,2022-10-07,19:30,Hoffenheim,Werder Bremen,1,2,A,1.0,1.0,D,Unknown,16.0,8.0,6.0,3.0,12.0,18.0,3.0,3.0,3.0,3.0,0.0,0.0,19,Evening / Night,3,1,6.0,0.375,0.375,24.0,9.0,30.0,6.0
Bundesliga,2022-2023,D1,2022-10-08,14:30,Augsburg,Wolfsburg,1,1,D,0.0,1.0,A,Unknown,18.0,12.0,5.0,7.0,19.0,11.0,11.0,5.0,5.0,3.0,0.0,0.0,14,Afternoon,2,0,8.0,0.2777777777777778,0.5833333333333334,30.0,12.0,30.0,16.0
Bundesliga,2022-2023,D1,2022-10-08,14:30,Bochum,Ein Frankfurt,3,0,H,0.0,0.0,D,Unknown,11.0,11.0,6.0,2.0,12.0,10.0,9.0,4.0,2.0,1.0,0.0,0.0,14,Afternoon,3,3,3.0,0.5454545454545454,0.18181818181818182,22.0,8.0,22.0,13.0
Bundesliga,2022-2023,D1,2022-10-08,14:30,Leverkusen,Schalke 04,4,0,H,2.0,0.0,H,Unknown,13.0,2.0,7.0,1.0,9.0,17.0,3.0,3.0,1.0,1.0,0.0,0.0,14,Afternoon,4,4,2.0,0.5384615384615384,0.5,15.0,8.0,26.0,6.0
Bundesliga,2022-2023,D1,2022-10-08,14:30,Mainz,RB Leipzig,1,1,D,1.0,0.0,H,Unknown,9.0,12.0,3.0,3.0,12.0,12.0,4.0,2.0,1.0,1.0,0.0,0.0,14,Afternoon,2,0,2.0,0.3333333333333333,0.25,21.0,6.0,24.0,6.0
Bundesliga,2022-2023,D1,2022-10-08,17:30,Dortmund,Bayern Munich,2,2,D,0.0,1.0,A,Unknown,13.0,9.0,6.0,3.0,8.0,11.0,7.0,4.0,3.0,6.0,0.0,1.0,17,Evening / Night,4,0,10.0,0.46153846153846156,0.3333333333333333,22.0,9.0,19.0,11.0
Bundesliga,2022-2023,D1,2022-10-09,14:30,M'gladbach,FC Koln,5,2,H,2.0,1.0,H,Unknown,13.0,5.0,6.0,3.0,8.0,14.0,7.0,4.0,2.0,3.0,0.0,1.0,14,Afternoon,7,3,6.0,0.46153846153846156,0.6,18.0,9.0,22.0,11.0
Bundesliga,2022-2023,D1,2022-10-09,16:30,Hertha,Freiburg,2,2,D,1.0,1.0,D,Unknown,11.0,10.0,3.0,4.0,14.0,13.0,4.0,2.0,2.0,1.0,0.0,0.0,16,Afternoon,4,0,3.0,0.2727272727272727,0.4,21.0,7.0,27.0,6.0
Bundesliga,2022-2023,D1,2022-10-09,18:30,Stuttgart,Union Berlin,0,1,A,0.0,0.0,D,Unknown,9.0,7.0,3.0,4.0,12.0,10.0,2.0,5.0,3.0,3.0,1.0,0.0,18,Evening / Night,1,1,7.0,0.3333333333333333,0.5714285714285714,16.0,7.0,22.0,7.0
Bundesliga,2022-2023,D1,2022-10-14,19:30,Schalke 04,Hoffenheim,0,3,A,0.0,2.0,A,Unknown,14.0,18.0,2.0,7.0,12.0,8.0,4.0,5.0,2.0,2.0,0.0,0.0,19,Evening / Night,3,3,4.0,0.14285714285714285,0.3888888888888889,32.0,9.0,20.0,9.0
Bundesliga,2022-2023,D1,2022-10-15,14:30,Ein Frankfurt,Leverkusen,5,1,H,1.0,0.0,H,Unknown,20.0,5.0,11.0,2.0,10.0,9.0,7.0,1.0,0.0,4.0,0.0,1.0,14,Afternoon,6,4,5.0,0.55,0.4,25.0,13.0,19.0,8.0
